creditscore,geography,gender,age,tenure,balance,numofproducts,has_credit_card,is_active_member,estimatedsalary,churn,complain,satisfaction_score,card_type,point_earned,age_group,tenure_group,high_balance_flag,engagement_score,low_satisfaction_flag,single_product_flag,salary_segment,risk_score,churn_probability,risk_segment
619,France,Female,42,2,0.0,1,1,1,101348.88,1,1,2,DIAMOND,464,Mid-Age,New,0,2,1,1,Medium,2,0.24325179863542604,Low Risk
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,1,3,DIAMOND,456,Mid-Age,New,0,1,0,1,Medium,1,0.993385767947369,High Risk
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1,3,DIAMOND,377,Mid-Age,Established,1,1,0,0,Medium,1,0.9978991726117316,High Risk
699,France,Female,39,1,0.0,2,0,0,93826.63,0,0,5,GOLD,350,Mid-Age,New,0,1,0,0,Medium,1,0.4081051804963887,Medium Risk
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0,5,GOLD,425,Mid-Age,New,1,3,0,1,Medium,1,0.00012920744584328357,Low Risk
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,1,5,DIAMOND,484,Mid-Age,Established,1,1,0,0,High,1,0.9986777566227278,High Risk
822,France,Male,50,7,0.0,2,1,1,10062.8,0,0,2,SILVER,206,Senior,Established,0,3,1,0,Low,1,1.2131417996910579e-05,Low Risk
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,1,2,DIAMOND,282,Young,Early,1,1,1,0,Medium,2,0.9934978108629008,High Risk
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,3,GOLD,251,Mid-Age,Early,1,2,0,0,Medium,0,0.0013131287888967797,Low Risk
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0,3,GOLD,342,Young,New,1,3,0,1,Medium,1,8.159063392040496e-06,Low Risk
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0,3,GOLD,264,Mid-Age,Established,1,1,0,0,Medium,1,0.0414172145851511,Low Risk
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0,3,GOLD,249,Young,Early,0,2,0,0,Medium,1,0.00037328044303911514,Low Risk
476,France,Female,34,10,0.0,2,1,0,26260.98,0,0,3,SILVER,119,Mid-Age,Established,0,2,0,0,Low,1,0.0011173886697041766,Low Risk
549,France,Female,25,5,0.0,2,0,0,190857.79,0,0,3,PLATINUM,549,Young,Early,0,1,0,0,High,1,0.06464199688764087,Low Risk
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0,2,GOLD,318,Mid-Age,Established,0,3,1,0,Low,1,1.4401147544340018e-06,Low Risk
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0,5,GOLD,308,Mid-Age,Early,1,2,0,0,Low,0,0.021249290596618786,Low Risk
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0,2,SILVER,163,Senior,New,1,2,1,1,Low,3,0.006362632173246099,Low Risk
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0,3,SILVER,544,Young,Established,0,3,0,0,Low,0,7.711853837346048e-06,Low Risk
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0,3,PLATINUM,732,Mid-Age,Established,0,1,0,1,High,2,0.03369143473063758,Low Risk
726,France,Female,24,6,0.0,2,1,1,54724.03,0,0,4,GOLD,477,Young,Established,0,3,0,0,Low,0,2.858612898213627e-05,Low Risk
732,France,Male,41,8,0.0,2,1,1,170886.17,0,0,3,PLATINUM,568,Mid-Age,Established,0,3,0,0,High,0,7.85339874450509e-06,Low Risk
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0,2,DIAMOND,336,Mid-Age,Established,0,2,1,0,High,2,0.00011629066456572542,Low Risk
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,1,2,DIAMOND,887,Mid-Age,Early,0,1,1,1,Medium,3,0.9348643002860288,High Risk
669,France,Male,46,3,0.0,2,0,1,8487.75,0,0,2,SILVER,665,Senior,Early,0,2,1,0,Low,1,0.000736572746047753,Low Risk
846,France,Female,38,5,0.0,1,1,1,187616.16,0,0,3,PLATINUM,225,Mid-Age,Early,0,3,0,1,High,1,1.5147975061159144e-05,Low Risk
577,France,Male,25,3,0.0,2,0,1,124508.29,0,0,3,PLATINUM,659,Young,Early,0,2,0,0,Medium,0,0.0003388650987729201,Low Risk
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0,5,DIAMOND,236,Mid-Age,New,1,3,0,1,High,1,0.00017334432173534306,Low Risk
571,France,Male,44,9,0.0,2,0,0,38433.35,0,0,4,PLATINUM,448,Mid-Age,Established,0,1,0,0,Low,1,0.09806535211091116,Low Risk
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0,5,DIAMOND,499,Mid-Age,Early,1,3,0,1,Medium,1,0.0005302629094370529,Low Risk
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,2,GOLD,343,Young,,0,3,1,0,Low,1,1.673673958450533e-06,Low Risk
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,1,3,DIAMOND,298,Mid-Age,Early,0,1,0,0,High,1,0.9964809409021469,High Risk
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0,5,SILVER,628,Mid-Age,Established,0,2,0,1,High,1,0.0028050837575437095,Low Risk
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0,3,GOLD,611,Mid-Age,Established,1,1,0,0,Medium,1,0.11977639069263607,Low Risk
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0,2,SILVER,922,Mid-Age,Established,0,3,1,0,Low,1,2.2548064431098133e-06,Low Risk
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0,5,PLATINUM,276,Young,Established,0,3,0,0,High,0,5.5471329418823706e-05,Low Risk
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,1,1,DIAMOND,877,Mid-Age,,1,1,1,1,Low,3,0.968250509532287,High Risk
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0,4,SILVER,471,Mid-Age,Early,1,2,0,1,Medium,1,0.0009562060694511619,Low Risk
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0,2,GOLD,994,Mid-Age,Established,0,2,1,1,Medium,2,2.7195887301968407e-05,Low Risk
850,France,Male,36,7,0.0,1,1,1,40812.9,0,0,3,GOLD,944,Mid-Age,Established,0,3,0,1,Low,1,4.58105632010151e-06,Low Risk
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0,5,GOLD,419,Mid-Age,Established,0,2,0,0,High,0,0.011184623124600434,Low Risk
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0,4,DIAMOND,545,Mid-Age,Early,0,2,0,1,Medium,2,0.001153562112321609,Low Risk
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,1,5,SILVER,828,Senior,Established,1,0,0,1,High,2,0.9999988979871438,High Risk
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0,3,PLATINUM,789,Elder,New,1,3,0,1,Medium,1,0.00013332676488790103,Low Risk
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,1,2,GOLD,567,Senior,New,1,0,1,1,High,3,0.9999567029793647,High Risk
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0,1,PLATINUM,884,Elder,Early,1,3,1,1,High,2,6.3540962193741216e-06,Low Risk
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0,1,SILVER,296,Mid-Age,Early,1,3,1,0,Medium,1,3.014701150512025e-06,Low Risk
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,1,3,DIAMOND,779,Young,Established,1,2,0,1,Medium,1,0.7835346461273835,High Risk
