creditscore,geography,gender,age,tenure,balance,numofproducts,has_credit_card,is_active_member,estimatedsalary,churn,complain,satisfaction_score,card_type,point_earned,age_group,tenure_group,high_balance_flag,engagement_score,low_satisfaction_flag,single_product_flag,salary_segment,risk_score,churn_probability,risk_segment,clv,retention_priority
619,France,Female,42,2,0.0,1,1,1,101348.88,1,1,2,DIAMOND,464,Mid-Age,New,0,2,1,1,Medium,2,0.243251798635426,Low Risk,10134.888,Low Priority
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,1,3,DIAMOND,456,Mid-Age,New,0,1,0,1,Medium,1,0.993385767947369,High Risk,95062.118,Low Priority
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1,3,DIAMOND,377,Mid-Age,Established,1,1,0,0,Medium,1,0.9978991726117316,High Risk,171053.957,Critical Priority
699,France,Female,39,1,0.0,2,0,0,93826.63,0,0,5,GOLD,350,Mid-Age,New,0,1,0,0,Medium,1,0.4081051804963887,Medium Risk,9382.663,Low Priority
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0,5,GOLD,425,Mid-Age,New,1,3,0,1,Medium,1,0.0001292074458432,Low Risk,133419.23,Low Priority
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,1,5,DIAMOND,484,Mid-Age,Established,1,1,0,0,High,1,0.9986777566227278,High Risk,128731.451,Low Priority
822,France,Male,50,7,0.0,2,1,1,10062.8,0,0,2,SILVER,206,Senior,Established,0,3,1,0,Low,1,1.213141799691058e-05,Low Risk,1006.28,Low Priority
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,1,2,DIAMOND,282,Young,Early,1,1,1,0,Medium,2,0.9934978108629008,High Risk,126981.42800000001,Low Priority
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,3,GOLD,251,Mid-Age,Early,1,2,0,0,Medium,0,0.0013131287888967,Low Risk,149545.12,Low Priority
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0,3,GOLD,342,Young,New,1,3,0,1,Medium,1,8.159063392040496e-06,Low Risk,141776.453,Low Priority
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0,3,GOLD,264,Mid-Age,Established,1,1,0,0,Medium,1,0.0414172145851511,Low Risk,110034.832,Low Priority
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0,3,GOLD,249,Young,Early,0,2,0,0,Medium,1,0.0003732804430391,Low Risk,7639.001,Low Priority
476,France,Female,34,10,0.0,2,1,0,26260.98,0,0,3,SILVER,119,Mid-Age,Established,0,2,0,0,Low,1,0.0011173886697041,Low Risk,2626.098,Low Priority
549,France,Female,25,5,0.0,2,0,0,190857.79,0,0,3,PLATINUM,549,Young,Early,0,1,0,0,High,1,0.0646419968876408,Low Risk,19085.779000000002,Low Priority
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0,2,GOLD,318,Mid-Age,Established,0,3,1,0,Low,1,1.4401147544340018e-06,Low Risk,6595.165,Low Priority
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0,5,GOLD,308,Mid-Age,Early,1,2,0,0,Low,0,0.0212492905966187,Low Risk,149562.136,Low Priority
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0,2,SILVER,163,Senior,New,1,2,1,1,Low,3,0.006362632173246,Low Risk,133112.647,Low Priority
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0,3,SILVER,544,Young,Established,0,3,0,0,Low,0,7.711853837346048e-06,Low Risk,1440.641,Low Priority
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0,3,PLATINUM,732,Mid-Age,Established,0,1,0,1,High,2,0.0336914347306375,Low Risk,15868.481,Low Priority
726,France,Female,24,6,0.0,2,1,1,54724.03,0,0,4,GOLD,477,Young,Established,0,3,0,0,Low,0,2.858612898213627e-05,Low Risk,5472.403,Low Priority
732,France,Male,41,8,0.0,2,1,1,170886.17,0,0,3,PLATINUM,568,Mid-Age,Established,0,3,0,0,High,0,7.85339874450509e-06,Low Risk,17088.617000000002,Low Priority
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0,2,DIAMOND,336,Mid-Age,Established,0,2,1,0,High,2,0.0001162906645657,Low Risk,13855.546,Low Priority
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,1,2,DIAMOND,887,Mid-Age,Early,0,1,1,1,Medium,3,0.9348643002860288,High Risk,11891.353000000001,Low Priority
669,France,Male,46,3,0.0,2,0,1,8487.75,0,0,2,SILVER,665,Senior,Early,0,2,1,0,Low,1,0.0007365727460477,Low Risk,848.7750000000001,Low Priority
846,France,Female,38,5,0.0,1,1,1,187616.16,0,0,3,PLATINUM,225,Mid-Age,Early,0,3,0,1,High,1,1.5147975061159144e-05,Low Risk,18761.616,Low Priority
577,France,Male,25,3,0.0,2,0,1,124508.29,0,0,3,PLATINUM,659,Young,Early,0,2,0,0,Medium,0,0.0003388650987729,Low Risk,12450.829,Low Priority
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0,5,DIAMOND,236,Mid-Age,New,1,3,0,1,High,1,0.0001733443217353,Low Risk,153819.83500000002,Low Priority
571,France,Male,44,9,0.0,2,0,0,38433.35,0,0,4,PLATINUM,448,Mid-Age,Established,0,1,0,0,Low,1,0.0980653521109111,Low Risk,3843.335,Low Priority
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0,5,DIAMOND,499,Mid-Age,Early,1,3,0,1,Medium,1,0.000530262909437,Low Risk,151368.17299999998,Low Priority
